id,gold,student_answer,student_correct,student_method,student_note,A_answer,A_correct,A_method,A_note,B_answer,B_correct,B_method,B_note,teacher_answer,teacher_correct,teacher_method,teacher_note
test_0095,306,306,True,boxed,,306,True,strict,,306,True,strict,,306,True,strict,
test_0096,55,60,False,single_number_conclusion,,20,False,strict,,75,False,strict,,55,True,strict,
test_0097,24,26,False,boxed,,28,False,strict,,16,False,strict,,24,True,strict,
test_0098,75,75,True,manual_adjudication,结论明确为75,75,True,strict,,70,False,strict,,75,True,strict,
test_0099,24,20,False,boxed,,18,False,strict,,21,False,strict,,24,True,strict,
test_0100,50,50,True,boxed,,20,False,strict,,50,True,strict,,50,True,strict,
test_0101,110,110,True,boxed,,170,False,strict,,110,True,strict,,110,True,strict,
test_0102,452,49.5,False,single_number_conclusion,,217,False,strict,,388,False,strict,,462,False,strict,
test_0103,30,30,True,boxed,,30,True,strict,,30,True,strict,,30,True,strict,
test_0104,80,27,False,manual_adjudication,结论明确为约27,25,False,strict,,80,True,strict,,80,True,strict,
test_0105,3,3,True,boxed,,0,False,strict,,1.5,False,strict,,3,True,strict,
test_0106,120,120,True,manual_adjudication,结论明确为120,3000,False,strict,,120,True,strict,,120,True,strict,
test_0107,172,152,False,boxed,,160,False,strict,,120,False,strict,,172,True,strict,
test_0108,70,70,True,boxed,,70,True,strict,,70,True,strict,,70,True,strict,
test_0109,13,13,True,boxed,,20,False,strict,,17,False,strict,,13,True,strict,
test_0110,150,360,False,single_number_conclusion,,150,True,strict,,135,False,strict,,150,True,strict,
test_0111,18,24,False,boxed,,38,False,strict,,16.67,False,strict,,10,False,strict,
test_0112,1,57,False,boxed,,12,False,strict,,13,False,strict,,1,True,strict,
test_0113,250,250,True,boxed,,865,False,strict,,250,True,strict,,250,True,strict,
test_0114,3,3,True,single_number_conclusion,,4,False,strict,,3,True,strict,,3,True,strict,
test_0115,15,15,True,single_number_conclusion,,15,True,strict,,15,True,strict,,15,True,strict,
test_0116,12,6.75,False,single_number_conclusion,,36,False,strict,,12,True,strict,,12,True,strict,
test_0117,60,60,True,boxed,,60,True,strict,,140,False,strict,,60,True,strict,
test_0118,3,2.5,False,boxed,,4,False,strict,,5,False,strict,,3,True,strict,
test_0119,9,9.00,True,single_number_conclusion,,11.5,False,strict,,24.00,False,strict,,9.00,True,strict,
test_0120,140000,140000,True,boxed,,2800,False,strict,,280000,False,strict,,140000,True,strict,
test_0121,3,0,False,boxed,,3,True,strict,,1,False,strict,,6,False,strict,
test_0122,2400,2400,True,single_number_conclusion,,2400,True,strict,,2400,True,strict,,2400,True,strict,
test_0123,4,4,True,boxed,,4,True,strict,,4,True,strict,,4,True,strict,
test_0124,79,101,False,boxed,,216,False,strict,,101,False,strict,,79,True,strict,
test_0125,300,300,True,boxed,,360,False,strict,,300,True,strict,,300,True,strict,
test_0126,91,8,False,boxed,,620,False,strict,,31,False,strict,,91,True,strict,
test_0127,8,8,True,manual_adjudication,结论明确为8,8,True,strict,,8,True,strict,,8,True,strict,
test_0128,120,120,True,boxed,,120,True,strict,,120,True,strict,,120,True,strict,
test_0129,350,560,False,single_number_conclusion,,320,False,strict,,330,False,strict,,350,True,strict,
test_0130,2600,2600,True,boxed,,580,False,strict,,500,False,strict,,2600,True,strict,
test_0131,10,5,False,boxed,,10,True,strict,,10,True,strict,,10,True,strict,
test_0132,26,30,False,boxed,,22,False,strict,,-26,False,strict,,22,False,strict,
test_0133,7,80,False,boxed,,6.5,False,strict,,5,False,strict,,7,True,strict,
test_0134,31,31,True,boxed,,31,True,strict,,300,False,strict,,31,True,strict,
test_0135,975,10335.94,False,boxed,,525,False,strict,,975,True,strict,,975,True,strict,
test_0136,20,380.00,False,single_number_conclusion,,4.4,False,strict,,-1960,False,strict,,20,True,strict,
test_0137,120,120,True,boxed,,80,False,strict,,120,True,strict,,120,True,strict,
test_0138,220,220,True,boxed,,220,True,strict,,220,True,strict,,220,True,strict,
test_0139,87,87,True,boxed,,111,False,strict,,87,True,strict,,87,True,strict,
test_0140,300,290,False,boxed,,300,True,strict,,300,True,strict,,300,True,strict,
test_0141,30,42.5,False,boxed,,25,False,strict,,930,False,strict,,30,True,strict,
test_0142,17,,False,manual_adjudication,未给出题目要求的提前分钟数,17,True,strict,,1.8,False,strict,,9,False,strict,
test_0143,16,16,True,boxed,,16,True,strict,,0,False,strict,,16,True,strict,
test_0144,7,7,True,boxed,,7,True,strict,,10,False,strict,,7,True,strict,
test_0145,81,32,False,boxed,,81,True,strict,,81,True,strict,,81,True,strict,
test_0146,5,5,True,boxed,,6,False,strict,,5,True,strict,,5,True,strict,
test_0147,9,9,True,boxed,,49,False,strict,,0.3611,False,strict,,9,True,strict,
test_0148,10,10,True,boxed,,10,True,strict,,10,True,strict,,10,True,strict,
test_0149,24,14,False,single_number_conclusion,,14,False,strict,,18,False,strict,,27,False,strict,
test_0150,5,6,False,manual_adjudication,结论明确为找零6,5,True,strict,,5,True,strict,,5.00,True,strict,
test_0151,50,50,True,boxed,,50,True,strict,,50,True,strict,,50,True,strict,
test_0152,48,,False,manual_adjudication,输出含未知数表达式，没有最终数值,76800,False,strict,,48,True,strict,,48,True,strict,
test_0153,25,25,True,boxed,,25,True,strict,,25,True,strict,,25,True,strict,
test_0154,96,96,True,single_number_conclusion,,120,False,strict,,96,True,strict,,96,True,strict,
test_0155,25,16.67,False,single_number_conclusion,,,False,non_stop,,50,False,strict,,25,True,strict,
test_0156,180,120,False,boxed,,300,False,strict,,180,True,strict,,180,True,strict,
test_0157,21,21,True,boxed,,21,True,strict,,21,True,strict,,21,True,strict,
test_0158,1200,1200,True,single_number_conclusion,,1200,True,strict,,1200,True,strict,,1200,True,strict,
test_0159,255,0.125,False,manual_adjudication,结论明确为0.125,51,False,strict,,749.94,False,strict,,255,True,strict,
test_0160,4,2,False,manual_adjudication,结论明确为约2年,21,False,strict,,0.3333,False,strict,,5,False,strict,
test_0161,10,10,True,boxed,,10,True,strict,,10,True,strict,,10,True,strict,
test_0162,700,600,False,single_number_conclusion,,600,False,strict,,700,True,strict,,700,True,strict,
test_0163,38,38,True,single_number_conclusion,,38,True,strict,,38,True,strict,,38,True,strict,
test_0164,32,29,False,single_number_conclusion,,32,True,strict,,18,False,strict,,32,True,strict,
test_0165,30,20,False,single_number_conclusion,,13.22,False,strict,,38,False,strict,,30,True,strict,
test_0166,16,14/3,False,manual_adjudication,结论明确为14/3,16,True,strict,,16,True,strict,,16,True,strict,
test_0167,40,40,True,single_number_conclusion,,8,False,strict,,40,True,strict,,40,True,strict,
test_0168,288,288,True,manual_adjudication,结论明确为288,300,False,strict,,288,True,strict,,288,True,strict,
test_0169,1100,1500,False,boxed,,9900,False,strict,,250,False,strict,,1100,True,strict,
test_0170,20,20,True,boxed,,100,False,strict,,20,True,strict,,20,True,strict,
test_0171,2,2/3,False,manual_adjudication,结论明确为2/3小时,300,False,strict,,,False,needs_review,,2,True,strict,
test_0172,2880000,240000,False,boxed,,240000,False,strict,,240000,False,strict,,3120000,False,strict,
test_0173,9,9,True,boxed,,7,False,strict,,9,True,strict,,9,True,strict,
test_0174,132,132,True,manual_adjudication,结论明确为132,44,False,strict,,132,True,strict,,132,True,strict,
test_0175,93,93,True,boxed,,35,False,strict,,225,False,strict,,93,True,strict,
test_0176,4,4,True,boxed,,6,False,strict,,4,True,strict,,4,True,strict,
test_0177,85,25,False,boxed,,25,False,strict,,25,False,strict,,120,False,strict,
test_0178,33,21.00,False,boxed,,71,False,strict,,31,False,strict,,33.00,True,strict,
test_0179,12,25,False,boxed,,7,False,strict,,12,True,strict,,12,True,strict,
test_0180,7200,7200,True,boxed,,600,False,strict,,7200,True,strict,,7200,True,strict,
test_0181,60,60,True,boxed,,60,True,strict,,60,True,strict,,60,True,strict,
test_0182,44,37,False,boxed,,30,False,strict,,44,True,strict,,44,True,strict,
test_0183,113,163,False,boxed,,8,False,strict,,93,False,strict,,113.00,True,strict,
test_0184,43500,46500,False,single_number_conclusion,,93336.33,False,strict,,42500,False,strict,,43500,True,strict,
test_0185,720,720,True,single_number_conclusion,,720,True,strict,,720,True,strict,,720,True,strict,
test_0186,50,50,True,boxed,,0,False,strict,,13,False,strict,,50,True,strict,
test_0187,24,24,True,boxed,,24,True,strict,,24,True,strict,,24,True,strict,
test_0188,43,43,True,boxed,,-5,False,strict,,43,True,strict,,43,True,strict,
test_0189,30,414,False,single_number_conclusion,,56,False,strict,,38,False,strict,,30,True,strict,
test_0190,23,11,False,boxed,,61,False,strict,,24,False,strict,,23,True,strict,
test_0191,251,275,False,boxed,,5895,False,strict,,347,False,strict,,251,True,strict,
test_0192,35,35,True,single_number_conclusion,,35,True,strict,,35,True,strict,,35,True,strict,
test_0193,50,60,False,boxed,,330,False,strict,,290,False,strict,,-110,False,strict,
test_0194,82,82,True,boxed,,82,True,strict,,82,True,strict,,82,True,strict,
test_0195,2100,1100,False,boxed,,500,False,strict,,,False,non_stop,,2100,True,strict,
test_0196,3,0,False,boxed,,-4,False,strict,,3,True,strict,,3,True,strict,
test_0197,12,12,True,boxed,,12,True,strict,,12,True,strict,,12,True,strict,
test_0198,11,1,False,boxed,,1,False,strict,,5,False,strict,,11,True,strict,
test_0199,12,6,False,boxed,,13.5,False,strict,,30,False,strict,,12,True,strict,
